PROG_MAC	PESO	ETAM	RAZZA	GIORNO	PH	UMIDITA	MEDIA_L	MEDIA_a
725/1	186.89	19	LIMOUSINE	1	5.340	74.69496	43.77250	22.73750
725/1	186.89	19	LIMOUSINE	4	5.370	75.19735	42.34500	21.74750
725/1	186.89	19	LIMOUSINE	9	5.540	74.30443	42.15250	19.31500
725/1	186.89	19	LIMOUSINE	14	5.430	73.86132	43.08500	22.22500
731/5	177.38	25	METICCIO	1	5.360	73.88484	48.26750	20.74500
731/5	177.38	25	METICCIO	4	5.400	72.10874	47.65750	21.47000
731/5	177.38	25	METICCIO	9	5.270	73.23756	49.30500	18.08500
731/5	177.38	25	METICCIO	14	5.490	73.25471	47.67000	18.77250
733/5	259.99	19	LIMOUSINE	1	5.420	75.83742	41.20750	23.17750
733/5	259.99	19	LIMOUSINE	4	5.300	75.24929	40.81000	24.09000
