peso	dieta	sesso
68	linseed	male
73	linseed	male
69	linseed	male
66	linseed	male
68	linseed	male
65	linseed	male
61	linseed	female
64	linseed	female
57	linseed	female
62	linseed	female
62	linseed	female
65	linseed	female
62	sunflower	male
67	sunflower	male
63	sunflower	male
60	sunflower	male
62	sunflower	male
59	sunflower	male
55	sunflower	female
58	sunflower	female
51	sunflower	female
56	sunflower	female
56	sunflower	female
59	sunflower	female
64	casein	male
69	casein	male
65	casein	male
62	casein	male
64	casein	male
61	casein	male
57	casein	female
60	casein	female
53	casein	female
58	casein	female
58	casein	female
61	casein	female
