NITR;VAR;X
N0;V1;3,852
N0;V1;3,58236
N0;V1;4,788
N1;V1;5,0274
N2;V1;4,576
N2;V1;4,07264
N3;V1;6,034
N3;V1;6,45638
N4;V1;5,874
N4;V1;5,99148
N0;V2;2,606
N0;V2;2,42358
N1;V2;4,936
N1;V2;5,1828
N2;V2;4,454
N2;V2;3,96406
N3;V2;5,276
N3;V2;5,64532
N4;V2;5,916
N4;V2;6,03432
N0;V3;3,144
N0;V3;2,92392
N1;V3;4,562
N1;V3;4,7901
N2;V3;4,884
N2;V3;4,34676
N3;V3;5,906
N3;V3;6,31942
N4;V3;5,984
N4;V3;6,10368
N0;V4;2,894
N0;V4;2,69142
N1;V4;4,608
N1;V4;4,8384
N2;V4;3,924
N2;V4;3,49236
N3;V4;5,652
N3;V4;6,04764
N4;V4;5,518
N4;V4;5,62836
