Ct cn cs HG HD HLL HC HTR LNTN LNLL LNTR LNGR LGTR LGP LGGA LGGM LGGP LGLL
198 103 19 128 133 134 126 71 151 42 84 52 45 44 53 50 34 36
201 104 21 130 135 139 126 72 160 42 89 55 47 45 55 51 34 41
186 102 21 131 133 134 125 71 154 43 83 48 41 41 55 47 33 39
203 108 22 131 135 137 133 72 150 41 84 49 47 46 54 51 35 35
203 106 21 129 133 133 130 71 155 46 81 51 46 46 55 51 34 37
209 110 21 141 143 144 138 77 160 48 86 52 47 45 55 50 34 35
202 108 22 132 134 137 127 72 151 43 80 51 45 43 55 51 35 38
194 105 21 134 132 136 132 68 153 38 84 51 46 43 49 47 35 35
198 110 22 128 129 133 128 70 151 38 80 50 49 47 56 49 35 36
194 115 20 130 131 133 130 68 150 38 82 49 48 46 52 49 34 37
187 104 20 133 132 136 129 69 146 37 76 46 41 41 50 43 30 32
195 102 21 126 129 133 122 68 154 38 82 51 48 44 58 48 34 38
213 115 23 131 133 135 126 70 161 42 81 56 56 49 60 54 37 34
208 103 22 131 132 132 125 71 156 42 84 51 47 50 55 51 35 36
196 101 21 128 129 130 124 72 156 47 78 51 46 47 52 51 34 34
202 107 22 135 136 134 123 69 155 40 86 48 47 48 53 50 32 36
189 104 20 127 130 130 123 67 147 43 75 51 47 45 52 49 33 34
171 93 19 125 127 128 125 63 144 40 80 48 37 40 51 42 32 36
183 98 19 126 129 127 120 65 149 47 81 49 42 39 51 46 33 36
186 95 19 122 125 128 123 70 145 40 81 50 45 44 52 49 34 36
183 95 20 126 130 130 122 65 148 47 78 47 37 40 52 48 35 35
184 97 19 122 127 131 120 70 150 50 79 47 42 40 52 46 35 38
187 96 22 129 131 135 130 68 146 42 74 46 43 44 49 43 35 32
161 90 20 120 123 124 119 58 139 36 68 40 35 36 42 39 29 29
179 100 23 128 129 132 130 69 160 47 83 49 36 37 50 45 33 35
170 101 21 123 126 129 129 64 143 41 76 45 39 40 48 44 31 34
187 101 23 134 137 139 128 71 157 40 79 50 38 40 54 47 32 38
191 107 23 135 138 140 130 73 158 47 87 51 40 40 54 48 35 40
196 104 24 135 132 135 130 76 161 42 90 49 42 43 55 49 35 38
187 99 26 132 131 133 130 69 153 41 86 48 37 36 52 47 32 36
193 108 22 126 128 135 129 70 151 43 72 51 43 42 53 50 30 33
201 105 21 134 132 136 133 73 160 44 79 52 49 46 53 50 31 31
208 110 23 140 137 137 128 75 160 42 82 52 53 49 57 55 37 37
194 106 21 138 140 142 131 73 159 50 84 51 43 41 54 48 35 35
190 98 22 127 128 134 125 68 146 44 73 49 43 43 54 49 35 34
178 96 21 122 124 127 123 61 140 39 78 45 39 36 48 43 31 30
188 103 22 125 127 129 124 68 157 47 78 48 44 47 55 49 35 34
195 101 22 130 132 135 126 73 153 45 82 52 47 43 55 51 35 36
185 95 21 128 130 134 127 64 153 44 84 46 43 42 54 48 33 38
196 98 19 122 127 126 118 68 150 41 77 52 46 43 54 49 32 35
187 102 20 126 130 129 123 65 145 38 73 53 44 44 54 50 32 33
216 104 21 133 134 138 122 70 146 39 71 55 54 47 54 50 34 39
188 103 18 120 127 130 122 69 138 41 71 54 45 46 52 49 32 37
194 105 19 126 130 133 129 68 141 43 75 52 45 46 51 47 35 34
184 100 19 123 124 127 121 68 145 44 78 49 43 45 50 46 33 33
171 92 18 122 123 131 124 66 145 42 77 48 40 42 46 45 30 33
174 95 19 122 123 127 120 68 148 47 79 49 38 41 50 42 31 34
188 101 20 131 134 135 130 69 154 43 84 50 41 44 52 44 32 34
188 104 21 131 132 134 131 71 160 47 85 52 44 44 52 47 34 36
182 96 20 132 131 131 126 68 156 38 82 47 37 38 46 45 34 33
189 96 20 126 131 129 123 70 155 41 83 49 41 40 55 48 33 37
