Numero_bovina	latte	Grasso	Proteine	Mese_di_lattazione
946	19.8	3.84	4.19	1
946	18.2	3.71	4.37	2
946	23	4.58	3.64	3
946	25	3.49	3.11	4
946	27.8	1.98	3.3	5
946	21.8	13.8	3.27	6
946	27.8	3.18	3.34	7
946	26.2	3.13	3.69	8
946	23.2	3.35	3.95	9
946	18.3	3.37	4	10
669	30.2	2.21	3.4	1
669	32.2	3.28	2.97	2
669	28.8	3.85	3.04	3
669	28.8	3.44	3.06	4
669	25	9.59	4.47	5
669	18.6	4.08	3.01	6
669	17.8	3.54	2.97	7
669	17.7	3.77	2.99	8
669	17.6	4.04	3.02	9
669	15.2	4.02	3.1	10
261	38.2	3.41	3.48	1
261	45.4	2.36	2.96	2
261	48.8	2.51	2.7	3
261	35	3.04	4.4	4
261	30	2.89	3.6	5
261	26.8	2.74	2.99	6
261	26.6	3.5	3.4	7
261	25.2	3.3	3.25	8
261	23.2	2.78	3.37	9
261	22.2	3.54	3.66	10
85	40.8	3.1	2.78	1
85	34.2	3.49	3.44	2
85	38.6	5.22	4.22	3
85	22	3.55	3.99	4
85	22.4	2.71	2.98	5
85	21.4	3.65	3.56	6
85	20.2	3.9	3.67	7
85	20.8	3.52	3.7	8
85	19.8	3.97	3.49	9
85	19.6	2.9	3.27	10
306	35.6	4.13	3.11	1
306	36.2	2.94	3.03	2
306	35.4	2.25	3.36	3
306	8.6	5.18	4.47	4
306	31	2.39	3.02	5
306	27.4	2.23	3.58	6
306	21.4	1.69	3.32	7
306	23.4	2.89	3.01	8
306	21.6	3.84	3.63	9
306	22.9	3.55	3.75	10
488	30.8	3.33	3.58	1
488	0.6	6.12	4.34	2
488	27.2	2.46	2.9	3
488	27.2	2.3	3.23	4
488	26	2.5	3.35	5
488	24.8	2.71	3.47	6
488	21	3.3	3.38	7
488	21.6	2.88	3.47	8
488	21.8	3.7	3.72	9
488	20	3.4	3.59	10
511	36.2	2.47	3.13	1
511	55	3.07	2.91	2
511	49.6	1.77	2.8	3
511	45.2	2.5	3.29	4
511	39.6	3.04	2.94	5
511	38.3	3.27	3.11	6
511	37	3.52	3.29	7
511	35	2.87	3.23	8
511	36	2.8	3.36	9
511	11.4	6.06	4.54	10
766	8.2	3.66	2.98	1
766	16.1	2.76	2.89	2
766	24	1.87	2.81	3
766	29.4	2.9	2.67	4
766	25.6	2.85	3.29	5
766	22.6	2.15	2.8	6
766	21.7	2.53	2.84	7
766	20.8	2.91	2.89	8
766	21.6	3.1	3.06	9
766	14.8	3.45	3.28	10
